LinePressure,Slope,yint
0,184.1551013,0.009761905
35.304,181.6561886,-0.234380952
85.304,178.9358533,-0.567190476
135.304,175.4247229,-0.917952381
185.304,173.6058941,-1.27347619
235.304,170.2212908,-1.601952381
285.304,167.8752652,-1.932333333
