LinePressure,Slope,yint
0,677.7312087,0.708857143
35.304,677.691669,-0.177
85.304,670.7722115,-1.316666667
135.304,654.4422917,-2.309
185.304,667.2531731,-3.324952381
235.304,646.2971017,-4.313571429
285.304,637.5192756,-5.302857143
